Description,Date,Distance,Average Moving Speed,Max Speed
West Didsbury to Altrincham ,10/10/2012 7:57:00,6.3,16.03,23.93
Altrincham to West Didsbury ,10/10/2012 17:50:00,6.27,16.12,23.93
West Didsbury to Altrincham ,11/10/2012 7:51:00,6.34,15.71,26.44
Altrincham to West Didsbury ,11/10/2012 17:42:00,6.05,16.28,25.47
Airport Loop ,14/10/2012 12:42,21.05,18.19,37.22
West Didsbury to Altrincham ,15/10/2012 07:53,6.32,15.06,26.03
Altrincham to West Didsbury ,15/10/2012 17:42,6.27,15.59,27.56
West Didsbury to Altrincham ,16/10/2012 07:44,6.35,14.4,25.47
Altrincham to West Didsbury ,16/10/2012 17:12,6.26,16.21,25.75
West Didsbury to Altrincham ,17/10/2012 07:30,6.27,15.11,25.05
Altrincham to West Didsbury ,17/10/2012 17:11,6.28,16.27,33.72
West Didsbury to Altrincham ,18/10/2012 07:30,6.35,15.39,24.35
Altrincham to West Didsbury ,18/10/2012 17:11,6.15,16.29,26.72
West Didsbury to Altrincham ,19/10/2012 07:35,6.29,14.24,25.47
Altrincham to West Didsbury ,19/10/2012 17:15,6.28,16.6,26.44
West Didsbury to Altrincham ,22/10/2012 07:32,6.42,15.48,27.28
Altrincham to West Didsbury ,22/10/2012 17:09,6.04,17.36,26.31
West Didsbury to Altrincham ,23/10/2012 07:53,6.36,14.95,25.89
Altrincham to West Didsbury ,23/10/2012 17:40,4.94,15.77,25.19
West Didsbury to Altrincham ,24/10/2012 07:52,6.29,15.68,25.19
Altrincham to West Didsbury ,24/10/2012 17:44,6.28,15.37,26.86
West Didsbury to Altrincham ,29/10/2012 07:51,6.35,15.2,25.75
Altrincham to West Didsbury ,29/10/2012 17:32,6.25,15.36,25.61
West Didsbury to Altrincham ,30/10/2012 07:59,6.4,15.34,31.48
Altrincham to West Didsbury ,30/10/2012 17:44,6.27,15.11,27.7
West Didsbury to Altrincham ,31/10/2012 07:25,6.3,15.28,24.49
Altrincham to West Didsbury ,31/10/2012 17:20,6.29,14.45,23.65
West Didsbury to Altrincham ,1/11/2012 7:52:00,6.28,14.93,24.49
Altrincham to West Didsbury ,1/11/2012 17:49:00,6.31,14.69,26.86
West Didsbury to Altrincham ,2/11/2012 7:35:00,6.32,15.21,23.65
Altrincham to West Didsbury ,2/11/2012 17:14:00,6.29,15.61,26.86
West Didsbury to Altrincham ,5/11/2012 7:53:00,6.4,13.86,22.67
Altrincham to West Didsbury ,5/11/2012 17:41:00,6.31,14.5,27
West Didsbury to Altrincham ,6/11/2012 7:51:00,6.31,13.53,24.77
Altrincham to West Didsbury ,6/11/2012 17:43:00,6.26,13.77,22.11
West Didsbury to Altrincham ,7/11/2012 7:58:00,6.34,13.34,22.95
Altrincham to West Didsbury ,7/11/2012 17:42:00,6.27,14.88,26.31
West Didsbury to Altrincham ,8/11/2012 7:51:00,6.34,13.33,22.95
Altrincham to West Didsbury,8/11/2012 17:44:00,6.28,15.43,23.93
West Didsbury to Altrincham ,9/11/2012 7:26:00,6.27,14.15,23.09
Altrincham to West Didsbury ,9/11/2012 17:06:00,6.45,11.21,24.63
West Didsbury to Altrincham ,12/11/2012 7:53:00,6.33,14.58,23.37
Altrincham to West Didsbury ,12/11/2012 17:40:00,6.29,15.81,25.33
West Didsbury to Altrincham ,13/11/2012 07:53,6.31,14.05,25.47
Altrincham to West Didsbury ,13/11/2012 17:46,6.26,16.14,24.77
West Didsbury to Altrincham ,14/11/2012 07:53,6.36,16.19,25.47
Altrincham to West Didsbury ,14/11/2012 17:39,6.27,15.71,26.58
West Didsbury to Altrincham ,15/11/2012 07:52,6.29,15.29,25.75
Altrincham to West Didsbury ,15/11/2012 17:45,6.29,16.08,28.4
West Didsbury to Altrincham ,19/11/2012 07:55,6.31,14.11,26.17
Altrincham to West Didsbury ,19/11/2012 18:06,6.41,16.34,29.24
West Didsbury to Altrincham ,20/11/2012 07:52,6.37,15.33,33.72
Altrincham to West Didsbury ,20/11/2012 17:49,6.26,17.08,27.14
West Didsbury to Altrincham ,21/11/2012 07:54,6.31,14.06,24.91
Altrincham to West Didsbury ,21/11/2012 17:48,6.32,15.66,24.35
Altrincham to West Didsbury ,22/11/2012 07:53,6.34,14.49,25.33
Altrincham to West Didsbury ,22/11/2012 17:57,6.28,15.64,28.26
Airport Loop ,24/11/2012 09:19,21.02,18.01,37.36
